ID;Name;ubi bound;modification;ubi linkage;other bound 1;other bound 2;method;comment;;;;;;;;;;
4BOP;OTUD1;;;;;;X-Ray;;;;;;;;;;;
4BOQ;OTUD2;;;;;;X-Ray;;;;;;;;;;;
4BOZ;OTUD2;di-Ub;;K11;;;X-Ray;di Ub nicht am katalytischen Zentrum;;;;;;;;;;
4BOS;OTUD2;di-Ub;;K11;;;X-Ray;di Ub nicht am katalytischen Zentrum;;;;;;;;;;
4BOU;OTUD3;;;;;;X-Ray;;;;;;;;;;;
3PFY;OTUD5;;;;;;X-Ray;;;;;;;;;;;
3TMO;OTUD5;;;;;;X-Ray;;;;;;;;;;;
3TMP;OTUD5;Ub;;;;;X-Ray;;;;;;;;;;;
2JZC;ALG13;;;;;;NMR;Ist aus yeast, nicht aus human;;;;;;;;;;
2ZFY;OTUB1;;;;;;X-Ray;;;;;;;;;;;
4DDG;OTUB1;di-Ub;;K48;UBE2D2;;X-Ray;sehr unübersichtlich und OTUB1/UBE2D2 als eine Makro.mol angezeigt;;;;;;;;;;
4DDI;OTUB1;di-Ub ;;K48;UBE2D2;;X-Ray;sehr unübersichtlich und OTUB1/UBE2D2 als eine Makro.mol angezeigt;;;;;;;;;;
4LDT;OTUB1;Ub;aldehyde;;UBE2D2;;X-Ray;;;;;;;;;;;
4DHI;OTUB1;;;;UBE2N;;X-Ray;;;;;;;;;;;
4DHZ;OTUB1;Ub;aldehyde;;UBE2N;;X-Ray;;;;;;;;;;;
4DHJ;OTUB1;Ub;aldehyde;;UBE2N;;X-Ray;;;;;;;;;;;
4I6L;OTUB1;Ub ;;;;;X-Ray;Ub -> 6* mutiert (nicht am kata zentrum);;;;;;;;;;
3VON;OTUB1;;;;UBE2N;UBC13;X-Ray;;;;;;;;;;;
1TFF;OTUB2;;;;;;X-Ray;;;;;;;;;;;
4FJV;OTUB2;Ub;;;;;X-Ray;;;;;;;;;;;
5V3P;A20;;;;;;X-Ray;;;;;;;;;;;
5V3B;A20;;;;;;X-Ray;;;;;;;;;;;
3ZJG;A20;;;;;;X-Ray;Cys 103 2* oxidiert;;;;;;;;;;
3ZJF;A20;;;;;;X-Ray;Cys 103 2* oxidiert;;;;;;;;;;
3ZJE;A20;;;;;;X-Ray;Cys 103 1* oxidiert;;;;;;;;;;
3ZJD;A20;;;;;;X-Ray;reduced active state;;;;;;;;;;
3DKB;A20;;;;;;X-Ray;C->Gly AS:103;;;;;;;;;;
2VFJ;A20;;;;;;X-Ray;;;;;;;;;;;
5LRX;A20;Ub;;;;;X-Ray;;;;;;;;;;;
5LRU;Cezanne;;;;;;X-Ray;;;;;;;;;;;
5LRW;Cezanne;Ub;;;;;X-Ray;;;;;;;;;;;
5LRV;Cezanne;di-Ub;;K11;;;X-Ray;;;;;;;;;;;
3ZRH;TRBID;;;;;;X-Ray;;;;;;;;;;;
3ZNV;OTULIN;;;;;;X-Ray;;;;;;;;;;;
3ZNX;OTULIN;;;;;;X-Ray;1*mutiert;;;;;;;;;;
3ZNZ;OTULIN;di-Ub;;M1;;;X-Ray;Cys-> Ala AS:129;;;;;;;;;;
4KSJ;OTULIN;;;;;;X-Ray;Cys-> Ser  AS:129;;;;;;;;;;
4KSK;OTULIN;Ub;;;;;X-Ray;;;;;;;;;;;
4KSL;OTULIN;di-Ub;;M1;;;X-Ray;Cys-> Ala AS:129;;;;;;;;;;
5OE7;OTULIN;di-Ub;;M1;;;X-Ray;;;;;;;;;;;
6I9C;OTULIN;;;;;;X-Ray;G281R mutant;;;;;;;;;;
6SAK;OTULIN;;;;SNX27;;X-Ray;Cys-> Ala AS:129;;;;;;;;;;
6DRM;FAM105A;;;;;;X-Ray;;;;;;;;;;;
